content,up_class
"Главное по секторам российского рынка   Нефтегазовый сектор  Buy. Все внимание инвесторов приковано к очередному собранию ОПЕК+, которое пройдет уже ноября. А пока нефть продолжает находиться вблизи 7-летних максимумов на фоне сохранения сильного спроса.    Уран  Buy. Повестка развития атомной энергетики продолжает набирать обороты. Уже европейских стран поддерживают включение атомной энергетики в список зеленых источников энергии. Китай планирует построить еще ядерных реакторов к году, это в раза больше, чем есть в стране сейчас.   Сельхоз сектор  Buy. Из-за энергокризиса в Европе резко выросли цены на удобрения. Это может привести к снижению урожайности и еще большему росту цен на сельхозпродукцию. Российские аграрии выигрывают от роста цен на удобрения, так как договорились с производителями о фиксации цен до конца года.   Девелопмент  Buy. Российский рынок недвижимости имеет кратный потенциал роста - низкая обеспеченность кв.м. и старый жилищный фонд. В следующие лет спрос на недвижимость может превысить предложение почти вдвое, что  может привести к росту цен на квартиры. Помимо этого в секторе происходит консолидация - по некоторым прогнозам число игроков на рынке может сократиться в раза. Крупные игроки будут увеличивать свою долю на рынке, что положительно скажется на их финансовых результатах   Удобрения  Buy. Введенные квоты на экспорт азотных и азотосодержащих удобрений скорее направлены на то, чтобы производители не увеличивали экспорт за счет сокращения импорта. Рынок отреагировал излишне на эту новость, поскольку риски вследствие введения квот минимальны. Таким вариантом в частности является Фосагро , у которого существенная доля удобрений > в выручке фосфорные - не подпадающие под квоты.",0
"ФосАгро  торгуется дешевле своих крупных мировых аналогов. По мультипликатору P/E года ФосАгро оценивается вx, средняя оценка крупных производителей удобрений в мире —x.   Справедливая стоимость акций Фосагро PHOR 7417,руб., апсайд ",1
"Фосагро   справедливая стоимость руб., апсайд .  Рыночная цена акций стремится к их справедливой цене",1
"Введение экспортных квот снижает оценку Фосагро  всего на , а акции падают на  — реакция рынка избыточна.  Какая складывается ситуация? На период с декабря по июня правительство ограничивает экспорт   азотных удобрений на уровне не более т.  сложных включающих азот на уровне не более т.  Что это может значить для Фосагро? Фосагро может перенаправить  азотных и  сложных удобрений на внутренний рынок, цены на котором на ~ ниже экспортных.  Это приведет к снижению прибыли компании за следующие мес. на млрд руб  прибыли за этот период, посчитал источник РДВ.  Фосагро единоразово недополучит млрд руб. прибыли — это всего  капитализации компании. Акции Фосагро падают на , что может оказаться избыточной реакцией рынка.",0
Газпром  не стал бронировать мощности по транзиту газа через Украину и Польшу на год.,0
Юнипро   МСФО 3кв2021,0
Фосагро   СД о дивидендах и финансовых результатах.,0
"Новый проект элитной недвижимости Самолета  может принести млрд руб выручки —  продаж года если Самолет доведет свою долю до .  Самолет выкупает  проекта Интеко на Фрунзенской набережной в Москве площадью тыс кв. м, средней стоимостью свыше тыс руб. за кв. м.  Потенциальная выручка может быть почти втрое больше. Ранее на этом же участке Газпромбанк-инвест планировал возвести жилой комплекс на тыс кв. м. Подобный проект Самолета вместо текущего на кв. м. будет оцениваться уже в млрд рублей выручки.  Проект может полностью перейти Самолету - через покупку Интеко или через право выкупа всего проекта в случае изменения состава акционеров Интеко.  Покупка доли в проекте направлена на достижение статуса застройщика №в России",1
"Обзор. Сегежа  — компания роста с апсайдом .    Сегежа может забрать себе весь рост рынка лесозаготовки и деревообработки. При этом компания обладает большим потенциалом роста и зарабатывает больше аналогов за счёт более низкой себестоимости производства.  Даже при коррекции цен на продукцию это может помочь Сегеже практически удвоить выручку и EBITDA к году.  Подробнее в новом обзоре     Справедливая стоимость Сегежа SGZH руб., апсайд ",1
МСФО Сегежи  за месяцев  Выручка млрд руб  г/г Скорректированная OIBDA млрд руб 2х г/г Чистая прибыль млрд руб годом ранее убыток млрд   Презентация с подробными результатами,1
